Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,41.16,41.27,40.67,41.16,9929600,34.73,0.0,34.73,34.73
2016-01-05,2016,1,5,Tuesday,01,2016-01,41.29,42.11,41.26,42.09,7329300,35.51,0.02259479838191014,35.12,35.12
2016-01-06,2016,1,6,Wednesday,01,2016-01,41.76,42.42,41.75,42.05,9802700,35.48,-0.0009505323582741365,35.24,35.24
2016-01-07,2016,1,7,Thursday,01,2016-01,41.33,41.52,40.88,41.07,9434000,34.65,-0.023305630314199965,35.0925,35.0925
2016-01-08,2016,1,8,Friday,01,2016-01,41.26,41.35,40.65,40.8,8231100,34.42,-0.006573708929180633,34.958,34.958
2016-01-11,2016,1,11,Monday,02,2016-02,41.08,41.44,40.86,41.28,6406500,34.83,0.011764480344957029,34.93666666666667,34.93666666666667
2016-01-12,2016,1,12,Tuesday,02,2016-02,41.53,41.69,40.67,41.24,7319600,34.8,-0.0009688552360952452,34.917142857142856,34.917142857142856
2016-01-13,2016,1,13,Wednesday,02,2016-02,41.21,41.34,39.14,39.2,13204000,33.07,-0.049466552548221965,34.68625,34.68625
2016-01-14,2016,1,14,Thursday,02,2016-02,39.58,39.62,38.24,39.03,10458400,32.93,-0.004336985991384212,34.49111111111111,34.49111111111111
2016-01-15,2016,1,15,Friday,02,2016-02,38.17,38.81,38.06,38.49,9029200,32.48,-0.013835525925596448,34.29,34.29
2016-01-19,2016,1,19,Tuesday,03,2016-03,38.65,38.83,37.79,38.19,6815600,32.22,-0.007793953577863055,34.10181818181818,34.10181818181818
2016-01-20,2016,1,20,Wednesday,03,2016-03,37.68,38.08,36.44,37.85,11294500,31.94,-0.008903310723892721,33.92166666666667,33.92166666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,37.87,37.87,36.92,37.15,9592700,31.34,-0.018493656342668863,33.723076923076924,33.723076923076924
2016-01-22,2016,1,22,Friday,03,2016-03,37.55,37.89,36.83,37.12,13226200,31.32,-0.0008076053151528928,33.551428571428566,33.551428571428566
2016-01-25,2016,1,25,Monday,04,2016-04,37.26,37.35,36.58,36.67,10866600,30.94,-0.012123201135556316,33.28071428571428,33.37733333333333
2016-01-26,2016,1,26,Tuesday,04,2016-04,36.66,36.97,36.5,36.78,7348400,31.03,0.0029997973668041134,32.96071428571428,33.230624999999996
2016-01-27,2016,1,27,Wednesday,04,2016-04,36.89,37.89,36.81,37.46,10231400,31.61,0.01848865003205269,32.684285714285714,33.13529411764706
2016-01-28,2016,1,28,Thursday,04,2016-04,37.54,37.98,37.27,37.82,8502500,31.91,0.009609796738885956,32.488571428571426,33.06722222222223
2016-01-29,2016,1,29,Friday,04,2016-04,38.0,38.84,37.89,38.81,8222900,32.75,0.02617711920607979,32.36928571428571,33.050526315789476
2016-02-01,2016,2,1,Monday,05,2016-05,38.74,40.26,38.61,40.11,10922300,33.84,0.03349655861583223,32.29857142857143,33.089999999999996
2016-02-02,2016,2,2,Tuesday,05,2016-05,39.75,40.23,39.52,40.15,8112000,33.88,0.0009970036911117752,32.23285714285714,33.12761904761904
2016-02-03,2016,2,3,Wednesday,05,2016-05,40.29,40.47,39.56,40.18,8518800,33.9,0.0007471487575991809,32.292142857142856,33.162727272727274
2016-02-04,2016,2,4,Thursday,05,2016-05,39.72,39.89,38.85,38.96,7303300,32.87,-0.03036301535873165,32.28785714285714,33.15
2016-02-05,2016,2,5,Friday,05,2016-05,39.0,39.14,37.47,37.63,9774100,31.75,-0.03413755984525879,32.23571428571429,33.09166666666667
2016-02-08,2016,2,8,Monday,06,2016-06,37.08,37.15,35.42,36.82,15707000,31.07,-0.021525755032438254,32.153571428571425,33.010799999999996
2016-02-09,2016,2,9,Tuesday,06,2016-06,36.26,37.1,36.26,36.73,11550700,30.99,-0.0024440399695820902,32.08571428571428,32.933076923076925
2016-02-10,2016,2,10,Wednesday,06,2016-06,36.74,37.76,36.66,36.85,9110700,31.18,0.00614291821419255,32.074285714285715,32.868148148148144
2016-02-11,2016,2,11,Thursday,06,2016-06,36.42,36.99,35.78,36.43,9589800,30.83,-0.011397015914324293,32.03928571428572,32.79535714285714
2016-02-12,2016,2,12,Friday,06,2016-06,37.14,38.34,36.91,38.33,7527300,32.43,0.05215416021510921,32.145714285714284,32.782758620689656
2016-02-16,2016,2,16,Tuesday,07,2016-07,38.64,39.02,38.13,38.49,6807100,32.57,0.00417445878586431,32.255714285714284,32.775666666666666
2016-02-17,2016,2,17,Wednesday,07,2016-07,38.5,39.55,38.4,39.42,7748100,33.36,0.02416244147116453,32.380714285714284,32.79451612903226
2016-02-18,2016,2,18,Thursday,07,2016-07,39.0,39.25,37.7,38.06,11531200,32.2,-0.03450037471567524,32.401428571428575,32.7759375
2016-02-19,2016,2,19,Friday,07,2016-07,37.79,38.12,37.42,37.82,6938000,32.0,-0.006306106646618348,32.347857142857144,32.75242424242424
2016-02-22,2016,2,22,Monday,08,2016-08,38.1,38.43,37.85,38.27,5549600,32.38,0.011898598829069629,32.24357142857143,32.741470588235295
2016-02-23,2016,2,23,Tuesday,08,2016-08,38.12,38.97,37.93,38.78,6021100,32.81,0.013326268398643704,32.167142857142856,32.74342857142857
2016-02-24,2016,2,24,Wednesday,08,2016-08,38.44,38.77,38.1,38.7,6925900,32.75,-0.002062427822001389,32.085,32.74361111111111
2016-02-25,2016,2,25,Thursday,08,2016-08,38.88,39.51,38.75,39.46,7634400,33.39,0.019638158550006057,32.12214285714286,32.76108108108108
2016-02-26,2016,2,26,Friday,08,2016-08,39.55,39.95,39.2,39.45,6372700,33.38,-0.0002537463286185204,32.23857142857143,32.77736842105263
2016-02-29,2016,2,29,Monday,09,2016-09,39.7,40.46,39.6,39.91,10805600,33.77,0.011660437580672811,32.431428571428576,32.80282051282051
2016-03-01,2016,3,1,Tuesday,09,2016-09,40.36,40.74,39.91,40.62,9003000,34.37,0.017789812339829014,32.67285714285715,32.842
2016-03-02,2016,3,2,Wednesday,09,2016-09,40.68,40.91,40.45,40.65,9606300,34.4,0.0007387234246578611,32.902857142857144,32.879999999999995
2016-03-03,2016,3,3,Thursday,09,2016-09,37.81,38.44,36.89,37.8,40664800,31.98,-0.07011083983952615,32.985,32.85857142857143
2016-03-04,2016,3,4,Friday,09,2016-09,37.62,37.7,36.46,36.84,21043200,31.17,-0.025396800975691303,32.895,32.8193023255814
2016-03-07,2016,3,7,Monday,10,2016-10,36.59,37.65,36.54,37.05,12433100,31.35,0.005700421449625459,32.807857142857145,32.78590909090909
2016-03-08,2016,3,8,Tuesday,10,2016-10,36.93,37.68,36.85,37.02,8964500,31.32,-0.000809356386149207,32.662142857142854,32.75333333333334
2016-03-09,2016,3,9,Wednesday,10,2016-10,37.1,38.06,37.09,37.81,9266200,31.99,0.021339732892721175,32.64714285714286,32.736739130434785
2016-03-10,2016,3,10,Thursday,10,2016-10,37.81,37.96,37.25,37.73,9143100,31.93,-0.0021159935019630094,32.64214285714286,32.719574468085106
2016-03-11,2016,3,11,Friday,10,2016-10,37.9,38.68,37.88,38.64,8846700,32.7,0.024118978709045447,32.665,32.719166666666666
2016-03-14,2016,3,14,Monday,11,2016-11,38.43,38.85,37.98,38.39,6315200,32.48,-0.006470696123695996,32.64142857142857,32.714285714285715
2016-03-15,2016,3,15,Tuesday,11,2016-11,38.01,38.46,37.66,38.14,5596000,32.27,-0.006511546960080272,32.607142857142854,32.7054
2016-03-16,2016,3,16,Wednesday,11,2016-11,37.87,38.69,37.82,38.61,6227200,32.67,0.012322756431737414,32.55571428571429,32.6642
2016-03-17,2016,3,17,Thursday,11,2016-11,38.45,38.56,37.98,38.09,9693800,32.23,-0.013467783085346241,32.473571428571425,32.598600000000005
2016-03-18,2016,3,18,Friday,11,2016-11,38.14,38.88,38.0,38.56,10017800,32.63,0.012339169326169408,32.39214285714286,32.541599999999995
2016-03-21,2016,3,21,Monday,12,2016-12,38.38,38.6,38.09,38.13,5980300,32.26,-0.011151614465742088,32.24142857142857,32.4938
